"CourseIdentifier","Subject","Number","Title","Credits","OrgUnitIdentifier","Type","Description","CIPCode"
"ACCT2051","ACCT","2051","FUND COMP ACCOUNT",3,"ACCT","Undergraduate","This course will introduce students to the basics of accounting through the use of a computerized accounting program. This includes analysis of transactions, data entry, and preparation and analysis of computer generated financial statements and reports. This is a hands-on course with the accounting software provided with the textbook. This course is intended for the Associate of Applied Business (AAB) program, and does not apply toward a Bachelors in Business Administration (BBA).",52.0301
"ACCT2073","ACCT","2073","FUND TAX PREP SL",3,"ACCT","Undergraduate","This course provides a review of the basic tax rules learned in prior courses and allows studentsto use their knowledge to assist low-income and elderly taxpayers with the preparation of their individual tax returns through the Volunteer Income Tax Assistance (VITA) program sponsored by the IRS. Service learning has been defined by the National Service Learning Clearinghouse as ""a teaching and learning strategy that integrates meaningful community service with instruction and reflection to enrich the learning experience, teach civic responsibility, and strengthen communities."" This course is intended for the Associate of Applied Business (AAB) program, and does not apply toward a Bachelors in Business Administration (BBA).",52.1601
"ACCT2074","ACCT","2074","FUND FRAUD EXAM",3,"ACCT","Undergraduate","This course provides a broad understanding of financial fraud including what it is and how it iscommitted, prevented, and resolved. The behavior and social factors that motivate occupational offenders are explored. A fraud examination methodology is presented and major types of fraud are discussed in detail. Fraud topics covered include skimming, cash larceny, billing schemes, check tampering, employee payroll and reimbursement schemes, asset misappropriation, corruption, and fraudulent financial reporting schemes. Additionally, fraud detection techniques are discussed including interviewing witnesses, conducting investigations, and writing reports.",52.0301
"ACCT2075","ACCT","2075","FUND TAX PREP",3,"ACCT","Undergraduate","This course provides students the opportunity to understand the principles behind tax law while they learn how to work with clients to obtain the information they will need to complete tax forms. The focus of the course is tax return preparation for individuals and small businesses. This course is intended for the Associate of Applied Business (AAB) program, and does not apply toward the Bachelor of Business Administration (BBA) degree.",52.1601
"ACCT2081","ACCT","2081","FIN ACCT",3,"ACCT","Undergraduate","This course develops foundational knowledge and skills needed to understand, develop and analyze financial reports. Topics include income statements, cash flows, balance sheets and financial performance.",52.0301
"ACCT2082","ACCT","2082","MANAGERIAL ACCT",3,"ACCT","Undergraduate","This course develops foundational knowledge and skills needed to apply accounting data in planningand controlling business operations. Topics include costs, cost drivers nad allocation, contribution margin and managerial budgeting. Pre-Requisite: To take this course you must: Have taken the following Courses 22ACCT246 min grade D-, or 22ACCT261 min grade D-, or 22ACCT261H min grade D-, or 22ACCT281 min grade D-, or 22ACCT281H min grade D-, or 28ACCT103 min grade D-, or 28ACCT122 min grade D-, or 32ACCT246 min grade D-, or 34ACTN103 min grade D-, or 34ACTN242 min grade D-, or ACCT2081 min grade D-.",52.0301
"ACCT2085","ACCT","2085","FUND TOPICS IN ACCT",3,"ACCT","Undergraduate","This course will introduce students to advanced topics in accounting such as payroll, auditing, and not-for-profit accounting. Current topics in accounting will be discussed. In addition, students will complete a comprehensive manual accounting practice set in order to understand therole and importance of basic business documents, records, information flows, and internal controls in the accounting process. Prerequisite: FinancialAccounting, ACCT 2081. This course is intended forthe Associate of Applied Business (AAB) program, and does not apply toward a Bachelors in Business Administration (BBA). Pre-Requisite: To take this course you must: Have taken the following Courses 22ACCT281 min grade D-, or 28ACCT122 min grade D-, or 34ACTN242 min grade D-, or ACCT2081 min grade D-.",52.0301
"ACCT2091","ACCT","2091","ADV BOOKKEEPING",3,"ACCT","Undergraduate","Advanced Bookkeeping is a comprehensive, higher-order analysis of the financial accounting topics presented in Financial Accounting I and II.Additionally, this course emphasizes mastery of the skills and knowledge required to obtain a bookkeeping certification in the state of Ohio. Such certification signifies that an individual has obtained the skills necessary to carry out full-charge accounting functions in a small business (firms up to 100 employees). These functions incorporate a mastery of the accounting cycle which includes processing daily transactions, making adjusting entries, preparing financial statements, and closing the accounting records. Particular emphasis is placed on bank reconciliations, adjusting entries, payroll, depreciation methodology, inventory accounting, internal controls, fraud prevention, and error correction. This is a professional course requiring intensive study and analysis. Students who have not taken Financial Accounting I and II within the last two years may have difficulty. Theprerequisite for this course is ACTN 242. Pre-Requisite: To take this course you must: Have taken the following Courses 22ACCT281 min grade D-, or 28ACCT122 min grade D-, or 34ACTN242 min grade D-, or ACCT2081 min grade D-.",52.0301
"AIS3001","AIS","3001","MID COL EXP BRIDGNG",3,"AIS","Undergraduate","Transitional course for students who have completed an associates degree in a technical or applied field and who desire to earn a technical baccalaureate degree in applied studies for the purposes of career advancement and personal development. The focus will be on analyzing, comparing, and defining concepts and methods that bring technology and the liberal arts together. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS3010","AIS","3010","TEAM BLDG",3,"AIS","Undergraduate","Facilitation skills, group roles, team performanceassessment, stages of team development, dysfunctional teams, autonomous work teams. Class will function in teams to accomplish a project andnumerous exercises/activities. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS3025","AIS","3025","INFO MGT IN ORGS",3,"AIS","Undergraduate","This course provides an introduction to the core concepts and fundamental principles of InformationSystems (IS) in the context of organizational decision making. It will explore how organizationsleverage their business and streamline operations through the use of Decision Support Systems, Supply Chain Management, Customer Relationship Management, Electronic Commerce and Enterprise Resource Planning. Organizational strategies to protect information from threats and emerging trends in technology will be highlighted. The basics of computer hardware, software and networking will also be covered. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS3026C","AIS","3026C","APPLIED TECHNOLOGY",3,"AIS","Undergraduate","Technology tools have become an integral part of personal and professional activities. This course focuses on ways in which technology can be appliedto facilitate and improve personal and professional productivity, problem-solving skills,and decision-making ability. Students will developstrategies for (1) analyzing technology needs; and(2) evaluating, selecting, acquiring, and using technology tools that meet those needs. The coursewill also explore effective ways to manage the disruptions and distractions that occur as a result of the infusion of technology in personal and professional activities. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
"AIS3035","AIS","3035","MEDIA ASSETS LAW",3,"AIS","Undergraduate","The course examines media content and intellectualproperty assets within contemporary commercial andcommunications distribution systems with an emphasis on economic, legal, and political issues.Explores professional and legal issues of media production including contracts, copyright and licensing of media assets and related intellectualproperty rights. Also explores emerging opportunities within the field.",30.9999
"AIS3036","AIS","3036","FIN INFO FOR MGRS",3,"AIS","Undergraduate","The course will cover how to read and to use financial statements, how to employ ratios and performance measures, and how to improve decision making. There will be emphasis on distinguishing relevant information from irrelevant information. The course will deal with how to use principles ofleverage, and of working capital management, as well as the issues, tools and techniques that drive financial decision making. Subjects covered will include variable costing and absorption costing (both traditional and activity-based costing), cost behavior, budgeting principles, andtarget costing. Pre-Requisite: To take this course you must: Be enrolled in one of these Programs 28BAC, 34BAC.",30.9999
