"SectionIdentifier","TermIdentifier","CourseIdentifier","Subject","CourseNumber","Number","BeginDate","EndDate","OrgUnitIdentifier","Title","Credits","DeliveryMode","Location","Description"
"ACCT2051001_2178",2178,"ACCT2051","ACCT","2051","001",2017-08-21,2017-12-09,"ACCT","FUND COMP ACCOUNT",3,"DL 100%","Online",""
"ACCT2074001_2181",2181,"ACCT2074","ACCT","2074","001",2018-01-08,2018-04-26,"ACCT","FUND FRAUD EXAM",3,"DL 100%","Online",""
"ACCT2075001_2178",2178,"ACCT2075","ACCT","2075","001",2017-08-21,2017-12-09,"ACCT","FUND TAX PREP",3,"DL 100%","Online",""
"ACCT2081001_2178",2178,"ACCT2081","ACCT","2081","001",2017-08-21,2017-12-09,"ACCT","FIN ACCT",3,"DL 100%","Online",""
"ACCT2081001_2181",2181,"ACCT2081","ACCT","2081","001",2018-01-08,2018-04-26,"ACCT","FIN ACCT",3,"DL 100%","Online",""
"ACCT2081002_2178",2178,"ACCT2081","ACCT","2081","002",2017-08-21,2017-12-09,"ACCT","FIN ACCT",3,"Partially DL 26-74%","Clermont College",""
"ACCT2081002_2181",2181,"ACCT2081","ACCT","2081","002",2018-01-08,2018-04-26,"ACCT","FIN ACCT",3,"Partially DL 26-74%","Clermont College",""
"ACCT2081003_2181",2181,"ACCT2081","ACCT","2081","003",2018-01-08,2018-04-26,"ACCT","FIN ACCT",3,"In Person","Clermont College",""
"ACCT2081004_2178",2178,"ACCT2081","ACCT","2081","004",2017-08-21,2017-12-09,"ACCT","FIN ACCT",3,"Partially DL 26-74%","Clermont College",""
"ACCT2081004_2181",2181,"ACCT2081","ACCT","2081","004",2018-01-08,2018-04-26,"ACCT","FIN ACCT",3,"In Person","Clermont College",""
"ACCT2081005_2178",2178,"ACCT2081","ACCT","2081","005",2017-08-21,2017-12-09,"ACCT","FIN ACCT",3,"In Person","Clermont College",""
"ACCT2082001_2178",2178,"ACCT2082","ACCT","2082","001",2017-08-21,2017-12-09,"ACCT","MANAGERIAL ACCT",3,"DL 100%","Online",""
"ACCT2082001_2181",2181,"ACCT2082","ACCT","2082","001",2018-01-08,2018-04-26,"ACCT","MANAGERIAL ACCT",3,"DL 100%","Online",""
"ACCT2082002_2178",2178,"ACCT2082","ACCT","2082","002",2017-08-21,2017-12-09,"ACCT","MANAGERIAL ACCT",3,"Partially DL 26-74%","Clermont College",""
"ACCT2082002_2181",2181,"ACCT2082","ACCT","2082","002",2018-01-08,2018-04-26,"ACCT","MANAGERIAL ACCT",3,"Partially DL 26-74%","Clermont College",""
"ACCT2082003_2178",2178,"ACCT2082","ACCT","2082","003",2017-08-21,2017-12-09,"ACCT","MANAGERIAL ACCT",3,"In Person","Clermont College",""
"ACCT2082003_2181",2181,"ACCT2082","ACCT","2082","003",2018-01-08,2018-04-26,"ACCT","MANAGERIAL ACCT",3,"In Person","Clermont College",""
"ACCT2082004_2181",2181,"ACCT2082","ACCT","2082","004",2018-01-08,2018-04-26,"ACCT","MANAGERIAL ACCT",3,"In Person","Clermont College",""
"ACCT2085001_2181",2181,"ACCT2085","ACCT","2085","001",2018-01-08,2018-04-26,"ACCT","FUND TOPICS IN ACCT",3,"DL 100%","Online",""
"ACCT2091001_2181",2181,"ACCT2091","ACCT","2091","001",2018-01-08,2018-04-26,"ACCT","ADV BOOKKEEPING",3,"DL 100%","Online",""
"AIS3001001_2178",2178,"AIS3001","AIS","3001","001",2017-08-21,2017-12-09,"AIS","MID COL EXP BRIDGNG",3,"Partially DL 26-74%","Clermont College",""
"AIS3001001_2181",2181,"AIS3001","AIS","3001","001",2018-01-08,2018-04-26,"AIS","MID COL EXP BRIDGNG",3,"Partially DL 26-74%","Clermont College",""
"AIS3001002_2178",2178,"AIS3001","AIS","3001","002",2017-08-21,2017-12-09,"AIS","MID COL EXP BRIDGNG",3,"DL 100%","Online",""
"AIS3010001_2178",2178,"AIS3010","AIS","3010","001",2017-08-21,2017-12-09,"AIS","TEAM BLDG",3,"Partially DL 26-74%","Clermont College",""
"AIS3010002_2178",2178,"AIS3010","AIS","3010","002",2017-08-21,2017-12-09,"AIS","TEAM BLDG",3,"DL 100%","Online",""
"AIS3010002_2181",2181,"AIS3010","AIS","3010","002",2018-01-08,2018-04-26,"AIS","TEAM BLDG",3,"In Person","Clermont College",""
"AIS3026C001_2178",2178,"AIS3026C","AIS","3026C","001",2017-08-21,2017-12-09,"AIS","APPLIED TECHNOLOGY",3,"Partially DL 26-74%","Clermont College",""
"AIS3026C002_2178",2178,"AIS3026C","AIS","3026C","002",2017-08-21,2017-12-09,"AIS","APPLIED TECHNOLOGY",3,"DL 100%","Online",""
"AIS3026C002_2181",2181,"AIS3026C","AIS","3026C","002",2018-01-08,2018-04-26,"AIS","APPLIED TECHNOLOGY",3,"DL 100%","Online",""
"AIS3035001_2178",2178,"AIS3035","AIS","3035","001",2017-08-21,2017-12-09,"AIS","MEDIA ASSETS LAW",3,"Partially DL 26-74%","Clermont College",""
"AIS3035001_2181",2181,"AIS3035","AIS","3035","001",2018-01-08,2018-04-26,"AIS","MEDIA ASSETS LAW",3,"In Person","Clermont College",""
"AIS3036001_2178",2178,"AIS3036","AIS","3036","001",2017-08-21,2017-12-09,"AIS","FIN INFO FOR MGRS",3,"Partially DL 26-74%","Clermont College",""
"AIS3036001_2181",2181,"AIS3036","AIS","3036","001",2018-01-08,2018-04-26,"AIS","FIN INFO FOR MGRS",3,"DL 100%","Online",""
"AIS3036002_2178",2178,"AIS3036","AIS","3036","002",2017-08-21,2017-12-09,"AIS","FIN INFO FOR MGRS",3,"DL 100%","Online",""
"AIS3050001_2178",2178,"AIS3050","AIS","3050","001",2017-08-21,2017-12-09,"AIS","LAW & ETHICS",3,"Partially DL 26-74%","Clermont College",""
"AIS3050001_2181",2181,"AIS3050","AIS","3050","001",2018-01-08,2018-04-26,"AIS","LAW & ETHICS",3,"Partially DL 26-74%","Clermont College",""
"AIS3070001_2178",2178,"AIS3070","AIS","3070","001",2017-08-21,2017-12-09,"AIS","APPL WKPL WRITING",3,"DL 100%","Online",""
"AIS3070001_2181",2181,"AIS3070","AIS","3070","001",2018-01-08,2018-04-26,"AIS","APPL WKPL WRITING",3,"Partially DL 26-74%","Clermont College",""
"AIS3070002_2181",2181,"AIS3070","AIS","3070","002",2018-01-08,2018-04-26,"AIS","APPL WKPL WRITING",3,"DL 100%","Online",""
"AIS3075001_2178",2178,"AIS3075","AIS","3075","001",2017-08-21,2017-12-09,"AIS","APPL HR PRACTICES",3,"Partially DL 26-74%","Clermont College",""
"AIS3075002_2178",2178,"AIS3075","AIS","3075","002",2017-08-21,2017-12-09,"AIS","APPL HR PRACTICES",3,"DL 100%","Online",""
"AIS3075002_2181",2181,"AIS3075","AIS","3075","002",2018-01-08,2018-04-26,"AIS","APPL HR PRACTICES",3,"DL 100%","Online",""
"AIS3091001_2178",2178,"AIS3091","AIS","3091","001",2017-08-21,2017-12-09,"AIS","APPLIED STATISTICS",3,"Partially DL 26-74%","Clermont College",""
"AIS3091001_2181",2181,"AIS3091","AIS","3091","001",2018-01-08,2018-04-26,"AIS","APPLIED STATISTICS",3,"Partially DL 26-74%","Clermont College",""
"AIS3091002_2178",2178,"AIS3091","AIS","3091","002",2017-08-21,2017-12-09,"AIS","APPLIED STATISTICS",3,"DL 100%","Online",""
"AIS3091002_2181",2181,"AIS3091","AIS","3091","002",2018-01-08,2018-04-26,"AIS","APPLIED STATISTICS",3,"DL 100%","Online",""
"AIS4001001_2178",2178,"AIS4001","AIS","4001","001",2017-08-21,2017-12-09,"AIS","TECH PROMISE PERILS",3,"DL 100%","Online",""
"AIS4001001_2181",2181,"AIS4001","AIS","4001","001",2018-01-08,2018-04-26,"AIS","TECH PROMISE PERILS",3,"DL 100%","Online",""
"AIS4012001_2178",2178,"AIS4012","AIS","4012","001",2017-08-21,2017-12-09,"AIS","TRDS COMM TECH/BUS",3,"DL 100%","Online",""
"AIS4012002_2181",2181,"AIS4012","AIS","4012","002",2018-01-08,2018-04-26,"AIS","TRDS COMM TECH/BUS",3,"DL 100%","Online",""
"AIS4018001_2178",2178,"AIS4018","AIS","4018","001",2017-08-21,2017-12-09,"AIS","PUBLIC IMAGES ORGS",3,"Partially DL 26-74%","Clermont College",""
"AIS4018001_2181",2181,"AIS4018","AIS","4018","001",2018-01-08,2018-04-26,"AIS","PUBLIC IMAGES ORGS",3,"DL 100%","Online",""
"AIS4032001_2178",2178,"AIS4032","AIS","4032","001",2017-08-21,2017-12-09,"AIS","INTERPRSL CONN WKPL",3,"DL 100%","Online",""
"AIS4032001_2181",2181,"AIS4032","AIS","4032","001",2018-01-08,2018-04-26,"AIS","INTERPRSL CONN WKPL",3,"Partially DL 26-74%","Clermont College",""
"AIS4032002_2178",2178,"AIS4032","AIS","4032","002",2017-08-21,2017-12-09,"AIS","INTERPRSL CONN WKPL",3,"DL 100%","Online",""
"AIS4045001_2178",2178,"AIS4045","AIS","4045","001",2017-08-21,2017-12-09,"AIS","APPL EMPLOYEE SPVSN",3,"Partially DL 26-74%","Clermont College",""
"AIS4045002_2178",2178,"AIS4045","AIS","4045","002",2017-08-21,2017-12-09,"AIS","APPL EMPLOYEE SPVSN",3,"DL 100%","Online",""
"AIS4045002_2181",2181,"AIS4045","AIS","4045","002",2018-01-08,2018-04-26,"AIS","APPL EMPLOYEE SPVSN",3,"DL 100%","Online",""
"AIS4052001_2178",2178,"AIS4052","AIS","4052","001",2017-08-21,2017-12-09,"AIS","APPL MEDIA METHODS",3,"Partially DL 26-74%","Clermont College",""
"AIS4052002_2178",2178,"AIS4052","AIS","4052","002",2017-08-21,2017-12-09,"AIS","APPL MEDIA METHODS",3,"DL 100%","Online",""
"AIS4052002_2181",2181,"AIS4052","AIS","4052","002",2018-01-08,2018-04-26,"AIS","APPL MEDIA METHODS",3,"DL 100%","Online",""
"AIS4063001_2181",2181,"AIS4063","AIS","4063","001",2018-01-08,2018-04-26,"AIS","PRSN & SALES APPL",3,"Partially DL 26-74%","Clermont College",""
"AIS4070001_2178",2178,"AIS4070","AIS","4070","001",2017-08-21,2017-12-09,"AIS","PUB & NON-PRO ADMIN",3,"Partially DL 26-74%","Clermont College",""
"AIS4075001_2178",2178,"AIS4075","AIS","4075","001",2017-08-21,2017-12-09,"AIS","DIVERS PROF SETTING",3,"DL 100%","Online",""
"AIS4075001_2181",2181,"AIS4075","AIS","4075","001",2018-01-08,2018-04-26,"AIS","DIVERS PROF SETTING",3,"DL 100%","Online",""
"AIS4075002_2181",2181,"AIS4075","AIS","4075","002",2018-01-08,2018-04-26,"AIS","DIVERS PROF SETTING",3,"Partially DL 26-74%","Clermont College",""
"AIS4085001_2181",2181,"AIS4085","AIS","4085","001",2018-01-08,2018-04-26,"AIS","GLOBAL CHALLENGES",3,"DL 100%","Online",""
"AIS4085002_2181",2181,"AIS4085","AIS","4085","002",2018-01-08,2018-04-26,"AIS","GLOBAL CHALLENGES",3,"DL 100%","Online",""
"AIS4099001_2178",2178,"AIS4099","AIS","4099","001",2017-08-21,2017-12-09,"AIS","SENIOR CAPSTONE",3,"Partially DL 26-74%","Clermont College",""
"AIS4099001_2181",2181,"AIS4099","AIS","4099","001",2018-01-08,2018-04-26,"AIS","SENIOR CAPSTONE",3,"Partially DL 26-74%","Clermont College",""
"AIS4099002_2181",2181,"AIS4099","AIS","4099","002",2018-01-08,2018-04-26,"AIS","SENIOR CAPSTONE",3,"Partially DL 26-74%","Clermont College",""
"ALH1005001_2178",2178,"ALH1005","ALH","1005","001",2017-08-21,2017-12-09,"ALH","HEALTH CARE EDGE",1,"In Person","Clermont College",""
"ALH1005001_2181",2181,"ALH1005","ALH","1005","001",2018-01-08,2018-04-26,"ALH","HEALTH CARE EDGE",1,"In Person","Clermont College",""
"ALH1005002_2178",2178,"ALH1005","ALH","1005","002",2017-08-21,2017-12-09,"ALH","HEALTH CARE EDGE",1,"In Person","Clermont College",""
"ALH1005002_2181",2181,"ALH1005","ALH","1005","002",2018-01-08,2018-04-26,"ALH","HEALTH CARE EDGE",1,"DL 100%","Online",""
"ALH1005003_2178",2178,"ALH1005","ALH","1005","003",2017-08-21,2017-12-09,"ALH","HEALTH CARE EDGE",1,"DL 100%","Online",""
"ALH1005003_2181",2181,"ALH1005","ALH","1005","003",2018-01-08,2018-04-26,"ALH","HEALTH CARE EDGE",1,"DL 100%","Online",""
"ALH1005004_2178",2178,"ALH1005","ALH","1005","004",2017-08-21,2017-12-09,"ALH","HEALTH CARE EDGE",1,"DL 100%","Online",""
"ALH1005005_2178",2178,"ALH1005","ALH","1005","005",2017-08-21,2017-12-09,"ALH","HEALTH CARE EDGE",1,"DL 100%","Online",""
"ALH1006C001_2178",2178,"ALH1006C","ALH","1006C","001",2017-08-21,2017-12-09,"ALH","CPR AND FIRST AID",1,"Partially DL 26-74%","Clermont College",""
"ALH1006C001_2181",2181,"ALH1006C","ALH","1006C","001",2018-01-08,2018-04-26,"ALH","CPR AND FIRST AID",1,"Partially DL 26-74%","Clermont College",""
"ALH1006C002_2178",2178,"ALH1006C","ALH","1006C","002",2017-08-21,2017-12-09,"ALH","CPR AND FIRST AID",1,"Partially DL 26-74%","Clermont College",""
"ALH1006C003_2178",2178,"ALH1006C","ALH","1006C","003",2017-08-21,2017-12-09,"ALH","CPR AND FIRST AID",1,"Partially DL 26-74%","Clermont College",""
"ALH1006C004_2181",2181,"ALH1006C","ALH","1006C","004",2018-01-08,2018-04-26,"ALH","CPR AND FIRST AID",1,"In Person","Clermont College",""
"ALH1006C005_2181",2181,"ALH1006C","ALH","1006C","005",2018-01-08,2018-04-26,"ALH","CPR AND FIRST AID",1,"In Person","Clermont College",""
"ALH1015C001_2178",2178,"ALH1015C","ALH","1015C","001",2017-08-21,2017-12-09,"ALH","HUMAN DISEASE",2,"DL 100%","Online",""
"ALH1015C001_2181",2181,"ALH1015C","ALH","1015C","001",2018-01-08,2018-04-26,"ALH","HUMAN DISEASE",2,"DL 100%","Online",""
"ALH2071001_2178",2178,"ALH2071","ALH","2071","001",2017-08-21,2017-12-09,"ALH","PATHOPHYS HLTH PROF",3,"DL 100%","Online",""
"ALH2071001_2181",2181,"ALH2071","ALH","2071","001",2018-01-08,2018-04-26,"ALH","PATHOPHYS HLTH PROF",3,"DL 100%","Online",""
"ALH2071002_2181",2181,"ALH2071","ALH","2071","002",2018-01-08,2018-04-26,"ALH","PATHOPHYS HLTH PROF",3,"DL 100%","Online",""
"ARTH1001001_2178",2178,"ARTH1001","ARTH","1001","001",2017-08-21,2017-12-09,"ARTH","HIST ART I",3,"In Person","Clermont College",""
"ARTH1002001_2181",2181,"ARTH1002","ARTH","1002","001",2018-01-08,2018-04-26,"ARTH","HIST ART II",3,"In Person","Clermont College",""
"ARTH1083001_2178",2178,"ARTH1083","ARTH","1083","001",2017-08-21,2017-12-09,"ARTH","WOMENART",3,"DL 100%","Online",""
"ARTH1083001_2181",2181,"ARTH1083","ARTH","1083","001",2018-01-08,2018-04-26,"ARTH","WOMENART",3,"DL 100%","Online",""
"ASL1001001_2178",2178,"ASL1001","ASL","1001","001",2017-08-21,2017-12-09,"ASL","BEGINNING ASL I",3,"In Person","Clermont College",""
"ASL1001002_2178",2178,"ASL1001","ASL","1001","002",2017-08-21,2017-12-09,"ASL","BEGINNING ASL I",3,"In Person","Clermont College",""
"ASL1001003_2178",2178,"ASL1001","ASL","1001","003",2017-08-21,2017-12-09,"ASL","BEGINNING ASL I",3,"In Person","Clermont College",""
"ASL1001004_2178",2178,"ASL1001","ASL","1001","004",2017-08-21,2017-12-09,"ASL","BEGINNING ASL I",3,"In Person","Clermont College",""
"ASL1001005_2178",2178,"ASL1001","ASL","1001","005",2017-08-21,2017-12-09,"ASL","BEGINNING ASL I",3,"In Person","Clermont College",""
"ASL1002001_2181",2181,"ASL1002","ASL","1002","001",2018-01-08,2018-04-26,"ASL","BEGINNING ASL II",3,"In Person","Clermont College",""
"ASL1002002_2181",2181,"ASL1002","ASL","1002","002",2018-01-08,2018-04-26,"ASL","BEGINNING ASL II",3,"In Person","Clermont College",""
"ASL1002003_2181",2181,"ASL1002","ASL","1002","003",2018-01-08,2018-04-26,"ASL","BEGINNING ASL II",3,"In Person","Clermont College",""
"ASL1002004_2181",2181,"ASL1002","ASL","1002","004",2018-01-08,2018-04-26,"ASL","BEGINNING ASL II",3,"In Person","Clermont College",""
"ASL1002005_2181",2181,"ASL1002","ASL","1002","005",2018-01-08,2018-04-26,"ASL","BEGINNING ASL II",3,"In Person","Clermont College",""
"ASL2001001_2178",2178,"ASL2001","ASL","2001","001",2017-08-21,2017-12-09,"ASL","INTERMEDIATE ASL I",3,"In Person","Clermont College",""
"ASL2001002_2178",2178,"ASL2001","ASL","2001","002",2017-08-21,2017-12-09,"ASL","INTERMEDIATE ASL I",3,"In Person","Clermont College",""
"ASL2002001_2181",2181,"ASL2002","ASL","2002","001",2018-01-08,2018-04-26,"ASL","INTERMEDIATE ASL II",3,"In Person","Clermont College",""
"ASL2002002_2181",2181,"ASL2002","ASL","2002","002",2018-01-08,2018-04-26,"ASL","INTERMEDIATE ASL II",3,"In Person","Clermont College",""
"AVTN1000001_2178",2178,"AVTN1000","AVTN","1000","001",2017-08-21,2017-12-09,"AVTN","INTRO TO AVIATION",1,"In Person","Clermont College",""
"AVTN2000001_2181",2181,"AVTN2000","AVTN","2000","001",2018-01-08,2018-04-26,"AVTN","PRIVATE PILOT FLIGHT",3,"In Person","Clermont College",""
"AVTN2001001_2178",2178,"AVTN2001","AVTN","2001","001",2017-08-21,2017-12-09,"AVTN","PRIVATE LECTURE I",3,"In Person","Clermont College",""
"AVTN2002001_2181",2181,"AVTN2002","AVTN","2002","001",2018-01-08,2018-04-26,"AVTN","PRIVATE LECTURE II",3,"In Person","Clermont College",""
"AVTN2021001_2178",2178,"AVTN2021","AVTN","2021","001",2017-08-21,2017-12-09,"AVTN","PILOT FLIGHT I",2,"In Person","Clermont College",""
"AVTN2021001_2181",2181,"AVTN2021","AVTN","2021","001",2018-01-08,2018-04-26,"AVTN","PILOT FLIGHT I",2,"In Person","Clermont College",""
"AVTN2022001_2178",2178,"AVTN2022","AVTN","2022","001",2017-08-21,2017-12-09,"AVTN","PILOT FLIGHT II",2,"In Person","Clermont College",""
"AVTN2022001_2181",2181,"AVTN2022","AVTN","2022","001",2018-01-08,2018-04-26,"AVTN","PILOT FLIGHT II",2,"In Person","Clermont College",""
"AVTN2071001_2181",2181,"AVTN2071","AVTN","2071","001",2018-01-08,2018-04-26,"AVTN","METEOROLOGY",3,"In Person","Clermont College",""
"AVTN3001001_2178",2178,"AVTN3001","AVTN","3001","001",2017-08-21,2017-12-09,"AVTN","COMM LECTURE I",3,"In Person","Clermont College",""
"AVTN3002001_2181",2181,"AVTN3002","AVTN","3002","001",2018-01-08,2018-04-26,"AVTN","COMM LECTURE II",3,"In Person","Clermont College",""
"AVTN3021001_2178",2178,"AVTN3021","AVTN","3021","001",2017-08-21,2017-12-09,"AVTN","COMM FLIGHT I",2,"In Person","Clermont College",""
"AVTN3021001_2181",2181,"AVTN3021","AVTN","3021","001",2018-01-08,2018-04-26,"AVTN","COMM FLIGHT I",2,"In Person","Clermont College",""
"AVTN3022001_2178",2178,"AVTN3022","AVTN","3022","001",2017-08-21,2017-12-09,"AVTN","COMM FLIGHT II",2,"In Person","Clermont College",""
"AVTN3022001_2181",2181,"AVTN3022","AVTN","3022","001",2018-01-08,2018-04-26,"AVTN","COMM FLIGHT II",2,"In Person","Clermont College",""
"AVTN3023001_2178",2178,"AVTN3023","AVTN","3023","001",2017-08-21,2017-12-09,"AVTN","COMM FLIGHT III",2,"In Person","Clermont College",""
"AVTN3023001_2181",2181,"AVTN3023","AVTN","3023","001",2018-01-08,2018-04-26,"AVTN","COMM FLIGHT III",2,"In Person","Clermont College",""
"AVTN3071001_2178",2178,"AVTN3071","AVTN","3071","001",2017-08-21,2017-12-09,"AVTN","AVIATION SAFETY",3,"In Person","Clermont College",""
"AVTN3072001_2181",2181,"AVTN3072","AVTN","3072","001",2018-01-08,2018-04-26,"AVTN","AIRCRAFT SYSTEMS",3,"In Person","Clermont College",""
"BA1050001_2178",2178,"BA1050","BA","1050","001",2017-08-21,2017-12-09,"BA","SOCIAL MEDIA",3,"DL 100%","Online",""
"BA1050001_2181",2181,"BA1050","BA","1050","001",2018-01-08,2018-04-26,"BA","SOCIAL MEDIA",3,"DL 100%","Online",""
"BA2099001_2181",2181,"BA2099","BA","2099","001",2018-01-08,2018-04-26,"BA","INDEP STUDY:BUS",1,"DL 100%","Online",""
"BANA2081001_2178",2178,"BANA2081","BANA","2081","001",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"In Person","Clermont College",""
"BANA2081001_2181",2181,"BANA2081","BANA","2081","001",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081002_2178",2178,"BANA2081","BANA","2081","002",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081002_2181",2181,"BANA2081","BANA","2081","002",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081003_2178",2178,"BANA2081","BANA","2081","003",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081003_2181",2181,"BANA2081","BANA","2081","003",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081004_2178",2178,"BANA2081","BANA","2081","004",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2081005_2178",2178,"BANA2081","BANA","2081","005",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS I",3,"DL 100%","Online",""
"BANA2082001_2178",2178,"BANA2082","BANA","2082","001",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082001_2181",2181,"BANA2082","BANA","2082","001",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"In Person","Clermont College",""
"BANA2082002_2178",2178,"BANA2082","BANA","2082","002",2017-08-21,2017-12-09,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
"BANA2082002_2181",2181,"BANA2082","BANA","2082","002",2018-01-08,2018-04-26,"BANA","BUS. ANALYTICS II",3,"DL 100%","Online",""
